task_id,file_name,final_state,tcr_score,total_steps,ask_user_count,screenshot_count
000002_P-CON,history.json,UNKNOWN,0.0,0,0,0
000002_P-CON,interaction_history.json,UNKNOWN,0.0,14,1,2
000002_P-INT,history.json,UNKNOWN,0.0,0,0,0
000002_P-INT,interaction_history.json,UNKNOWN,0.0,33,3,0
000002_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000002_P-MIN,interaction_history.json,UNKNOWN,0.0,16,1,2
000002_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000002_P-RAM,interaction_history.json,UNKNOWN,0.0,26,3,1
000010_P-CON,history.json,UNKNOWN,0.0,0,0,0
000010_P-CON,interaction_history.json,UNKNOWN,0.0,27,0,6
000010_P-INT,history.json,UNKNOWN,0.0,0,0,0
000010_P-INT,interaction_history.json,UNKNOWN,0.0,33,4,5
000010_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000010_P-MIN,interaction_history.json,UNKNOWN,0.0,31,2,6
000010_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000010_P-RAM,interaction_history.json,UNKNOWN,0.0,27,0,6
000014_P-CON,history.json,UNKNOWN,0.0,0,0,0
000014_P-CON,interaction_history.json,UNKNOWN,0.0,29,1,6
000014_P-INT,history.json,UNKNOWN,0.0,0,0,0
000014_P-INT,interaction_history.json,UNKNOWN,0.0,8,0,1
000014_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000014_P-MIN,interaction_history.json,UNKNOWN,0.0,20,2,3
000014_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000014_P-RAM,interaction_history.json,UNKNOWN,0.0,17,0,6
000015_P-CON,history.json,UNKNOWN,0.0,0,0,0
000015_P-CON,interaction_history.json,UNKNOWN,0.0,27,0,6
000015_P-INT,history.json,UNKNOWN,0.0,0,0,0
000015_P-INT,interaction_history.json,UNKNOWN,0.0,8,0,1
000015_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000015_P-MIN,interaction_history.json,UNKNOWN,0.0,10,1,1
000015_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000015_P-RAM,interaction_history.json,UNKNOWN,0.0,31,0,6
000017_P-CON,history.json,UNKNOWN,0.0,0,0,0
000017_P-CON,interaction_history.json,UNKNOWN,0.0,29,0,6
000017_P-INT,history.json,UNKNOWN,0.0,0,0,0
000017_P-INT,interaction_history.json,UNKNOWN,0.0,8,0,1
000017_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000017_P-MIN,interaction_history.json,UNKNOWN,0.0,10,1,1
000017_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000017_P-RAM,interaction_history.json,UNKNOWN,0.0,33,0,6
000020_P-CON,history.json,UNKNOWN,0.0,0,0,0
000020_P-CON,interaction_history.json,UNKNOWN,0.0,8,0,1
000020_P-INT,history.json,UNKNOWN,0.0,0,0,0
000020_P-INT,interaction_history.json,UNKNOWN,0.0,14,2,1
000020_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000020_P-MIN,interaction_history.json,UNKNOWN,0.0,12,2,1
000020_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000020_P-RAM,interaction_history.json,UNKNOWN,0.0,27,0,6
000021_P-CON,history.json,UNKNOWN,0.0,0,0,0
000021_P-CON,interaction_history.json,UNKNOWN,0.0,27,0,6
000021_P-INT,history.json,UNKNOWN,0.0,0,0,0
000021_P-INT,interaction_history.json,UNKNOWN,0.0,27,0,6
000021_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000021_P-MIN,interaction_history.json,UNKNOWN,0.0,31,1,6
000021_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000021_P-RAM,interaction_history.json,UNKNOWN,0.0,10,1,1
000023_P-CON,history.json,UNKNOWN,0.0,0,0,0
000023_P-CON,interaction_history.json,UNKNOWN,0.0,26,0,5
000023_P-INT,history.json,UNKNOWN,0.0,0,0,0
000023_P-INT,interaction_history.json,UNKNOWN,0.0,18,3,1
000023_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000023_P-MIN,interaction_history.json,UNKNOWN,0.0,33,4,0
000023_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000023_P-RAM,interaction_history.json,UNKNOWN,0.0,8,0,1
000024_P-CON,history.json,UNKNOWN,0.0,0,0,0
000024_P-CON,interaction_history.json,UNKNOWN,0.0,27,0,6
000024_P-INT,history.json,UNKNOWN,0.0,0,0,0
000024_P-INT,interaction_history.json,UNKNOWN,0.0,33,2,0
000024_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000024_P-MIN,interaction_history.json,UNKNOWN,0.0,33,3,6
000024_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000024_P-RAM,interaction_history.json,UNKNOWN,0.0,33,2,3
000026_P-CON,history.json,UNKNOWN,0.0,0,0,0
000026_P-CON,interaction_history.json,UNKNOWN,0.0,35,4,1
000026_P-INT,history.json,UNKNOWN,0.0,0,0,0
000026_P-INT,interaction_history.json,UNKNOWN,0.0,29,1,6
000026_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000026_P-MIN,interaction_history.json,UNKNOWN,0.0,27,0,6
000026_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000026_P-RAM,interaction_history.json,UNKNOWN,0.0,27,0,6
000030_P-CON,history.json,UNKNOWN,0.0,0,0,0
000030_P-CON,interaction_history.json,UNKNOWN,0.0,8,0,1
000030_P-INT,history.json,UNKNOWN,0.0,0,0,0
000030_P-INT,interaction_history.json,UNKNOWN,0.0,10,1,1
000030_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000030_P-MIN,interaction_history.json,UNKNOWN,0.0,22,1,1
000030_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000030_P-RAM,interaction_history.json,UNKNOWN,0.0,29,2,6
000033_P-CON,history.json,UNKNOWN,0.0,0,0,0
000033_P-CON,interaction_history.json,UNKNOWN,0.0,27,0,6
000033_P-INT,history.json,UNKNOWN,0.0,0,0,0
000033_P-INT,interaction_history.json,UNKNOWN,0.0,33,0,5
000033_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000033_P-MIN,interaction_history.json,UNKNOWN,0.0,22,1,1
000033_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000033_P-RAM,interaction_history.json,UNKNOWN,0.0,31,1,6
000040_P-CON,history.json,UNKNOWN,0.0,0,0,0
000040_P-CON,interaction_history.json,UNKNOWN,0.0,22,0,3
000040_P-INT,history.json,UNKNOWN,0.0,0,0,0
000040_P-INT,interaction_history.json,UNKNOWN,0.0,31,1,6
000040_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000040_P-MIN,interaction_history.json,UNKNOWN,0.0,33,3,6
000040_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000040_P-RAM,interaction_history.json,UNKNOWN,0.0,31,1,6
000041_P-CON,history.json,UNKNOWN,0.0,0,0,0
000041_P-CON,interaction_history.json,UNKNOWN,0.0,29,0,6
000041_P-INT,history.json,UNKNOWN,0.0,0,0,0
000041_P-INT,interaction_history.json,UNKNOWN,0.0,33,2,4
000041_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000041_P-MIN,interaction_history.json,UNKNOWN,0.0,33,1,5
000041_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000041_P-RAM,interaction_history.json,UNKNOWN,0.0,29,1,6
000049_P-CON,history.json,UNKNOWN,0.0,0,0,0
000049_P-CON,interaction_history.json,UNKNOWN,0.0,27,0,6
000049_P-INT,history.json,UNKNOWN,0.0,0,0,0
000049_P-INT,interaction_history.json,UNKNOWN,0.0,17,0,6
000049_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000049_P-MIN,interaction_history.json,UNKNOWN,0.0,33,2,6
000049_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000049_P-RAM,interaction_history.json,UNKNOWN,0.0,33,2,0
000053_P-CON,history.json,UNKNOWN,0.0,0,0,0
000053_P-CON,interaction_history.json,UNKNOWN,0.0,16,1,2
000053_P-INT,history.json,UNKNOWN,0.0,0,0,0
000053_P-INT,interaction_history.json,UNKNOWN,0.0,12,2,1
000053_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000053_P-MIN,interaction_history.json,UNKNOWN,0.0,26,2,1
000053_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000053_P-RAM,interaction_history.json,UNKNOWN,0.0,29,1,6
000059_P-CON,history.json,UNKNOWN,0.0,0,0,0
000059_P-CON,interaction_history.json,UNKNOWN,0.0,16,0,3
000059_P-INT,history.json,UNKNOWN,0.0,0,0,0
000059_P-INT,interaction_history.json,UNKNOWN,0.0,10,1,1
000059_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000059_P-MIN,interaction_history.json,UNKNOWN,0.0,20,1,2
000059_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000059_P-RAM,interaction_history.json,UNKNOWN,0.0,29,0,6
000071_P-CON,history.json,UNKNOWN,0.0,0,0,0
000071_P-CON,interaction_history.json,UNKNOWN,0.0,27,0,6
000071_P-INT,history.json,UNKNOWN,0.0,0,0,0
000071_P-INT,interaction_history.json,UNKNOWN,0.0,12,0,2
000071_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000071_P-MIN,interaction_history.json,UNKNOWN,0.0,12,2,1
000071_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000071_P-RAM,interaction_history.json,UNKNOWN,0.0,8,0,1
000076_P-CON,history.json,UNKNOWN,0.0,0,0,0
000076_P-CON,interaction_history.json,UNKNOWN,0.0,22,0,1
000076_P-INT,history.json,UNKNOWN,0.0,0,0,0
000076_P-INT,interaction_history.json,UNKNOWN,0.0,33,3,0
000076_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000076_P-MIN,interaction_history.json,UNKNOWN,0.0,33,1,5
000076_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000076_P-RAM,interaction_history.json,UNKNOWN,0.0,27,0,6
000088_P-CON,history.json,UNKNOWN,0.0,0,0,0
000088_P-CON,interaction_history.json,UNKNOWN,0.0,35,4,1
000088_P-INT,history.json,UNKNOWN,0.0,0,0,0
000088_P-INT,interaction_history.json,UNKNOWN,0.0,16,2,1
000088_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000088_P-MIN,interaction_history.json,UNKNOWN,0.0,33,2,4
000088_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000088_P-RAM,interaction_history.json,UNKNOWN,0.0,33,3,2
000098_P-CON,history.json,UNKNOWN,0.0,0,0,0
000098_P-CON,interaction_history.json,UNKNOWN,0.0,30,1,1
000098_P-INT,history.json,UNKNOWN,0.0,0,0,0
000098_P-INT,interaction_history.json,UNKNOWN,0.0,29,1,6
000098_P-MIN,history.json,UNKNOWN,0.0,0,0,0
000098_P-MIN,interaction_history.json,UNKNOWN,0.0,33,4,2
000098_P-RAM,history.json,UNKNOWN,0.0,0,0,0
000098_P-RAM,interaction_history.json,UNKNOWN,0.0,8,0,1
